location,GADM_boxes,date,time,caption
Paris,"[79/11/75]",20140924,151902+0000,"Kurds living in France, sit on a bench with their placards during a gathering to protest against the Islamic State group, near the French Parliament, in Paris, Wednesday, Sept. 24, 2014. U.S. warplanes bombed Islamic State militant positions on both sides of the Syrian-Iraqi border on Wednesday as hard-line Syrian rebels who have been battling the extremist group sought cover, fearing a wider aerial campaign against all fighters seen as a potential threat to the United States. Placards read from left,\"that the horror of the Islamic State group, alert on the genocide of the Yazidis, the people of Rojava resist since 3 years against the Islamic State group, Kurdish front against the Islamic State group, Mossoul, Shengal, Markhmour, Qaraqosh you are not alone, hundred of children dead by dehydration\". (AP Photo/Michel Euler)"
Paris,"[79/11/75]",20140924,145733+0000,"Kurds leaving in France gather near the French Parliament to protest against the Islamic State group, in Paris, Wednesday, Sept. 24, 2014. U.S. warplanes bombed Islamic State militant positions on both sides of the Syrian-Iraqi border on Wednesday as hard-line Syrian rebels who have been battling the extremist group sought cover, fearing a wider aerial campaign against all fighters seen as a potential threat to the United States. Placard reads,\"Turkey is complicit with the terrorists\". (AP Photo/Michel Euler"
Washington,"[240/9/317]",20150211,142235+0000,"A protestor is arrested on Capitol Hill in Washington, Wednesday, Feb. 11, 2015. According to the press release from Alliance for Citizenship, many people were \"protesting inside the Capitol Hill offices of Republican 2016 hopefuls, leadership, and outspoken anti-immigrant leaders.\" (AP Photo/Susan Walsh)"
Hong Kong,"[102]",20141015,152649+0000,"Hong Kong Chief Executive Leung Chun-ying speaks during a presentation ceremony in Hong Kong, Wednesday, Oct. 15, 2014. Hong Kong police battling activists for control of an underpass in the dead of night Wednesday sparked public anger after officers were seen kicking a handcuffed protester in the worst violence since street demonstrations for greater democracy began more than two weeks ago. (AP Photo/Kin Cheung)"
Rome,"[112/8/39]",20141010,130037+0000,"Students stage a protest against the Italian government school reform, in Rome, Friday, Oct. 10, 2014. (AP Photo/Andrew Medichini)"
Islamabad,"[170/4/9]",20150125,162633+0000,"A supporter of the Pakistani political party Awami Tehreek looks to her daughter attending a rally to condemn the French magazine Charlie Hebdo for publication of a caricatures of the Prophet Muhammad, in Islamabad, Pakistan, Sunday, Jan. 25, 2015. Thousands of supporters of Islamic and political parties rallied in various Pakistani cities against the satirical newspaper Charlie Hebdo. (AP Photo/Anjum Naveed)"
Port-au-Prince,"[99/8/33]",20150225,132408+0000,"A man yells out in pain as his hand catches fire from a burning Dominican national flag he was holding, during an anti-Dominican Republic protest, in front of the country's consulate in Port-au-Prince, Haiti, Wednesday, Feb. 25, 2015. Protesters outraged over a Feb. 11 lynching of young man of Haitian descent in the Dominican city of Santiago are demanding that the neighboring country respect the human rights of Haitians. (AP Photo/Dieu Nalio Chery)"
Hong Kong,"[102]",20141009,185655+0000,"Students study on a main road in the occupied areas at Central, Hong Kong's Admiralty, Thursday, Oct. 9, 2014. Talks between the Hong Kong government and student leaders of a democracy protest that has blocked main roads in the Asian financial hub for nearly two weeks are canceled because they're unlikely to be constructive, a senior government official said Thursday. (AP Photo/Kin Cheung)"
Mexico City,"[145/9]",20150226,165810+0000,"Relatives carry banners with pictures of some of the 43 missing students from a rural teachers college during a march marking the fifth month since their disappearance, in Mexico City, Thursday, Feb. 26, 2015. In late January the Mexican attorney general said that investigators were certain that the 43 college students were killed and incinerated after they were seized by police in southern Guerrero state. Relatives refuse to accept the government's version of what happened to their sons. (AP Photo/Eduardo Verdugo)"
Port-au-Prince,"[99/8/33]",20150111,141529+0000,"Demonstrators set up a street barricade during a protest demanding the resignation of President Michel Martelly in Port-au-Prince, Haiti, Sunday, Jan. 11, 2015. At the same time, Martelly and opposition officials were locked again in negotiations at a hotel, trying to forge a last-minute deal to resolve a standoff stalling elections. Martelly will rule by decree if they don't resolve the political crisis by the end of Monday. (AP Photo/Dieu Nalio Chery)"
Washington,"[240/9/317]",20140802,135635+0000,"Demonstrators in support of ending the violence in Gaza march through the streets in Washington during a rally, on Saturday, Aug. 2, 2014. The group's chants could be heard from the north lawn of the White House, but President Barack Obama was not at home. (AP Photo/Jose Luis Magana)"
Hong Kong,"[102]",20141016,071244+0000,"Morning commuters walk past makeshift barricades surrounding the pro-democracy student occupied streets of the Mong Kok district of Hong Kong, Thursday, Oct. 16, 2014. Police briefly scuffled with protesters camped out in Hong Kong's streets early Thursday, but held back from dismantling barricades erected by the activists pushing for greater democracy in the Chinese territory. (AP Photo/Wally Santana)"
Hong Kong,"[102]",20141014,123359+0000,"Protesters pose for photos in from of their barricade at the main roads of Central district in Hong Kong Tuesday, Oct. 14, 2014. For a second day, Hong Kong police cleared barricades Tuesday from pro-democracy protest zones that have choked off traffic in key business districts for more than two weeks, signaling authorities' growing impatience with the student-led activists. (AP Photo/Kin Cheung)"
Montevideo,"[242/10/107]",20150322,210727+0000,"A couple tango in a downtown square in Montevideo, Uruguay, Sunday, March 22, 2015. Human rights groups coordinated the dance to protest what happened at an event in the same square last week, when two women dancing were told to leave because lesbians and gays were not welcomed. (AP Photo/Matilde Campodonico)"
Warsaw,"[179/9]",20141213,140506+0000,"Supporters of the main opposition party, the conservative Law and Justice, wave Polish national flags pass by the streets in Warsaw, Poland, Saturday, Dec. 13, 2014, to protest the results of recent local elections, which party leader Jaroslaw Kaczynski says were falsified.(AP Photo/Czarek Sokolowski)"
Bucharest,"[185/10/0]",20150208,144035+0000,"A Romanian man who has contracted a Swiss franc loan, holds papers that read: \"We borrowed from banks, not from pawnbrokers\" and referring to National Bank governor Mugur Isarescu, \"Isarescu, are you Romanian?\" during a protest outside the parliament building in Bucharest, Romania, Sunday, Feb. 8, 2015. Hundreds have protested against increasing repayments for Swiss franc loans mostly contracted during the economic boom of the mid-2000s because they had a lower interest rate. Protesters blame the banks for offering deceptively cheap loans and call on the government to intervene and support the about 75,000 people, according to Romanian National Bank statistics, who have Swiss franc loans. (AP Photo/Vadim Ghirda)"
Rome,"[112/8/39]",20141113,132416+0000,"A man stands in front of the entrance of a refugee center, in Rome's outskirts, Thursday, Nov. 13, 2014.  Riot police moved in to prevent residents of a neighborhood on Rome's outskirts from attacking refugees living at a holding center in the latest incident of anti-immigrant tensions rocking Italy. The working-class neighborhood of Tor Sapienza has seen several days and nights of clashes by residents against refugees, blaming foreigners for crimes. Residents say they're not racist, but are fed up with what they say are years of neglect by government authorities who have allowed gypsies, migrants and asylum-seekers to settle in Rome's peripheries without providing adequate services. The U.N. High Commissioner for Refugees condemned the violence, saying refugees and unaccompanied minors fleeing war and conflict deserve protection, respect and help integrating, not \"unacceptable\" acts of violence and intolerance. (AP Photo/Alessandra Tarantino)"
Kathmandu,"[157/1/1]",20150119,173511+0000,"Nepalese demonstrators gather to participate in a torch rally called by Opposition Alliance of 30 parties led by Communist Party of Nepal-Maoist, in Kathmandu, Nepal, Monday, Jan. 19, 2015. The rally was staged to protest plans by the ruling coalition to draft a new constitution without consensus of the opposition parties. (AP Photo/Niranjan Shrestha)"
St. Louis,"[240/26/1581]",20141012,234715+0000,"Protesters march through the streets of St. Louis protesting against recent shootings of young black men by law enforcement officers, late Sunday, Oct. 12, 2014. (AP Photo/Charles Rex Arbogast)"
Hong Kong,"[102]",20141017,065937+0000,"A pro-democracy protester is arrested by riot polices after police moved in the occupied area by the pro-democracy protesters in the Mong Kok district of Hong Kong, early Friday, Oct. 17, 2014. Riot police moved in on a Hong Kong pro-democracy protest zone in a dawn raid on Friday, taking down barricades, tents and canopies that have blocked key streets for more than two weeks. (AP Photo/Kin Cheung)"
New Delhi,"[105/10/121]",20150124,145425+0000,"Members of various Left Front political parties set an effigy with a portrait of U.S. President Barack Obama on fire during a protest march against his visit to India, in New Delhi, India, Saturday, Jan. 24, 2015. Obama arrives in New Delhi on Sunday for a three-day visit to talk with Prime Minister Narendra Modi and to be the chief guest in India's Republic Day parade marked annually on Jan. 26. (AP Photo/Altaf Qadri)"
Hong Kong,"[102]",20141029,135844+0000,"A coffin with a defaced picture of Hong Kong Chief Executive Leung Chun-ying are displayed in the occupied areas outside government headquarters as a pro-democracy protester plants a flower in Hong Kong's Admiralty, Wednesday, Oct. 29, 2014. Student democracy activists who have occupied Hong Kong streets for a month suggested Tuesday that direct negotiations with senior Chinese Communist Party officials could be a way to end their standoff with the local government. (AP Photo/Kin Cheung)"
Hong Kong,"[102]",20141022,155137+0000,"A group of anti-occupy Central protest taxi drivers employ a crane to remove the barricades which block off main roads at the occupied area, in the Mong Kok district of Hong Kong, Wednesday, Oct. 22, 2014. On one side of the table sat the idealistic and earnest young students in jeans and black T-shirts, knapsacks by their sides. Facing them was the line-up of seasoned government officials in their formal suits. (AP Photo/Kin Cheung)"
Oakland,"[240/5/184]",20141215,100045+0000,"Protestors block the off-ramp from northbound Interstate 880 Monday, Dec. 15, 2014, in Oakland, Calif. Demonstrators blocked streets around Oakland police headquarters and chained themselves to the front of the building Monday to protest recent grand jury decisions not to indict white officers who killed unarmed black men in Ferguson, Missouri, and New York. (AP Photo/Ben Margot)"
Rio de Janeiro,"[32/19]",20141004,144339+0000,"Two women kiss in a mock crucifixion in front of of the Candelaria church during a protest against homophobia in Rio de Janeiro, Brazil, Saturday, Oct.4, 2014. The women have painted on their bodies the words \"Vote against Homo phobia.\"  Brazil is preparing for general elections to be held Sunday, Oct. 5. (AP Photo/Silvia Izquierdo)"
Providence,"[240/40/2319]",20150311,121809+0000,"Hundreds of Brown University students march across campus, Wednesday, March 11, 2015, in Providence, R.I., to protest how the college handled recent sexual assault allegations. (AP Photo/Amy Anthony)"
Hong Kong,"[102]",20141211,172013+0000,"A general view shows a main road after police removing barricades and tents outside government headquarters in Hong Kong Thursday, Dec. 11, 2014. Hong Kong police on Thursday took away demonstrators who refused to leave the main pro-democracy protest camp and tore down their tents in a final push to retake streets occupied by activists for two and a half months. (AP Photo/Vincent Yu)"
Washington,"[240/9/317]",20141211,170421+0000,"Congressional staff members gather at the Capitol to raise awareness of the recent killings of black men by police officers, both of which did not result in grand jury indictments, in Washington, Thursday, Dec. 11, 2014. They are joined by Rep. Elijah Cummings, D-Md., second from left, and Senate Chaplain Barry Black, far right. The walkout came as both houses of Congress attempt to pass a spending measure and avert government shutdown.  (AP Photo/J. Scott Applewhite)"
Port-au-Prince,"[99/8/33]",20141125,132915+0000,"Protesters argue with police during a demonstration demanding the resignation of President Michel Martelly in Port-au-Prince, Haiti, Tuesday, Nov. 25, 2014. (AP Photo/Dieu Nalio Chery)"
Hong Kong,"[102]",20141211,155545+0000,"A police commander leans against a concrete wall with the defaced Chinese national flags placed on at the occupied area outside government headquarters in Hong Kong Thursday, Dec. 11, 2014. Hong Kong police on Thursday took away demonstrators who refused to leave the main pro-democracy protest camp and tore down their tents in a final push to retake streets occupied by activists for two and a half months. (AP Photo/Kin Cheung)"
Hong Kong,"[102]",20141017,210030+0000,"Protesters shout toward riot police at a main road in the Mong Kok district of Hong Kong Friday, Oct. 17, 2014. New scuffles broke out Friday night between Hong Kong riot police and pro-democracy activists in a district where police cleared protesters earlier in the day. The chaotic scenes unfolded hours after police moved in to clear tents, canopies and barricades at Mong Kok, a smaller protest zone across Victoria Harbor from the main occupied area in the heart of the financial district. (AP Photo/Vincent Yu)"
Paris,"[79/11/75]",20140924,152353+0000,"Kurds living in France, sit on a bench with their placards during a gathering to protest against the Islamic State group, near the French Parliament, in Paris, Wednesday, Sept. 24, 2014. U.S. warplanes bombed Islamic State militant positions on both sides of the Syrian-Iraqi border on Wednesday as hard-line Syrian rebels who have been battling the extremist group sought cover, fearing a wider aerial campaign against all fighters seen as a potential threat to the United States. Placards read from left,\"sanction against the complicit states, Kurdish front against the Islamic State group\". (AP Photo/Michel Euler)"
Hong Kong,"[102]",20141025,182328+0000,"Broken umbrellas are seen on barricades in the occupied area of the Mong Kok district Hong Kong Saturday, Oct. 25, 2014. Pro-democracy protesters in Hong Kong plan to hold a spot referendum Sunday on whether to stay in the streets or accept government offers for more talks and clear their protest camps. (AP Photo/Vincent Yu)"
New York,"[240/33/1874,240/33/1872,240/33/1854,240/33/1833,240/33/1862]",20150415,193015+0000,"Protestors pause near a McDonald's restaurant in Times Square during a rally and march in New York, Wednesday, April 15, 2015, as participants, fast food workers and union members, call for a $15 minimum wage. (AP Photo/Craig Ruttle)"
Barcelona,"[213/6/27]",20141107,201936+0000,"Supporters of the independence of the Catalonia gather in Barcelona, Spain, Friday, Nov. 7, 2014. The pro-independence regional government of Catalonia staged a symbolic poll on secession in a show of determination and defiance after the Constitutional Court suspended its plans to hold an official independence referendum following a legal challenge by the Spanish government. (AP Photo/Manu Fernandez)"
Manila,"[]",20141130,110944+0000,"Filipino activitists clench fists as they march along the streets wearing masks and bearing red flags in downtown Manila to mark the 50th anniversary of the \"Kabataang Makabayan\" on Sunday, Nov. 30, 2014. The organization is an underground left-wing youth group calling to overthrow the present government. (AP Photo/Aaron Favila)"
Hong Kong,"[102]",20141003,092411+0000,"Riot police try to hold back scuffling pro-democracy protesters as an ambulance tries to leave the compound of the chief executive office in Hong Kong, Friday, Oct. 3, 2014. Hong Kong protesters on Friday welcomed an overnight offer by the territory's leader of talks to defuse the crisis over demonstrations seeking democratic reforms, though they continued to demand he resign and maintained barricades around government headquarters, frustrating staff going to work. (AP Photo/Wally Santana)"
Rio de Janeiro,"[32/19]",20150331,121044+0000,"A woman protests the housing shortage and the money spent on the upcoming Olympics Games, and also demands proper housing in Rio de Janeiro, Brazil, Tuesday, March 31, 2015. The demonstrators were evicted recently from a parking lot at the state water and sewage company, CEDAE, where they were living for one week. (AP Photo/Silvia Izquierdo)"
Seoul,"[211/15]",20141226,135548+0000,"Workers crawl on a street as riot police officers block their way to the presidential house during a rally against government's labor policy in Seoul, South Korea, Friday, Dec. 26, 2014. About 30 labor union leaders denounced overall policies of South Korean President Park Geun-hye government on the issues of non-regular workers, privatization plans for the utility companies and current government's economic faulty policies. (AP Photo/Ahn Young-joon)"
Hong Kong,"[102]",20141009,180229+0000,"Joshua Wong, 17-year old student leader, stands on the stage during a rally in the occupied areas at Central district in Hong Kong, Thursday, Oct. 9, 2014. A Hong Kong government official canceled planned talks with student protest leaders on Friday, saying they were unlikely to be constructive. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141017,194745+0000,"Protesters scuffle with riot police in the occupied area in the Mong Kok district of Hong Kong Friday, Oct. 17, 2014. New scuffles broke out Friday night between Hong Kong riot police and pro-democracy activists in a district where police cleared protesters earlier in the day. The chaotic scenes unfolded hours after police moved in to clear tents, canopies and barricades at Mong Kok, a smaller protest zone across Victoria Harbor from the main occupied area in the heart of the financial district. (AP Photo/Kin Cheung)"
Srinagar,"[105/15/192]",20141015,140846+0000,"A Kashmiri woman shouts anti-government slogans as she along with the others blocks a road demanding rehabilitation of affected people in flooded areas, during a protest in Srinagar, India, Wednesday, Oct. 15, 2014. Flooding in the conflict-wracked Himalayan region in early September killed 281 people, destroyed at least 100,000 homes and caused an estimated $17 billion in damage. (AP Photo/Mukhtar Khan)"
Seoul,"[211/15]",20150328,141211+0000,"Unionized civil servants hold up their cards during a rally to oppose the government's bid to overhaul the public pension system near the National Assembly in Seoul, South Korea, Saturday, March 28, 2015. South Korean President Park Geun-hye called for parliamentary endorsement of a bill meant to reform the pension system for civil servants in the latest appeal to reduce the government's growing pension deficit. The letters on the cards read \"Protect public pension funds\". (AP Photo/Ahn Young-joon)"
Washington,"[240/9/317]",20141125,211656+0000,"A crowd of protesters yell from the steps the National Portrait Gallery in Washington, Tuesday, Nov. 25, 2014, after a Missouri grand jury refused to indict Ferguson police officer Darren Wilson for shooting unarmed 18-year-old Michael Brown. (AP Photo/Carolyn Kaster)"
Rome,"[112/8/39]",20141114,121454+0000,"A demonstrator holds a flare in front of a banner reading: \"November 14 social strike, struggling Students\" the Italian Finance Ministry building during a protest against Italian Premier Matteo Renzi and his planned job reforms in Rome, Friday, Nov. 14, 2014. (AP Photo/Gregorio Borgia)"
Hong Kong,"[102]",20141001,173013+0000,"Local residents join a a pro-democracy sit in at a main intersection in the Mongkok district in Hong Kong, Wednesday, Oct. 1, 2014. Student leaders of pro-democracy protests in Hong Kong warned Wednesday that if the territory's leader doesn't resign by the end of Thursday they will step up their actions, including occupying several important government buildings. (AP Photo/Wally Santana)"
Hong Kong,"[102]",20141007,013044+0000,"Protesters hold up a a tent after heavy rain at an intersection on a main road occupied by protesters in the Mong Kok area in Hong Kong, early Tuesday, Oct. 7, 2014. The students whose calls for democratic reforms sparked the most dramatic challenge to authorities since Hong Kong returned to Chinese control are vowing to keep up the fight. But as the numbers of protesters dwindled Monday from tens of thousands into the hundreds, it was unclear where the tumult of the past week would lead. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141119,044414+0000,"Police officers clash with the pro-democracy protesters outside the Legislative Council in Hong Kong early Wednesday, Nov. 19, 2014. Hundreds of riot police and geared-up protesters faced off each other after a handful of protesters broke several glass doors of the Legislative Council in an attempt to enter the building early Wednesday, following the execution of a court order to remove some roadblocks nearby that were part of a pro-democracy occupation campaign. (AP Photo/Kin Cheung)"
Ankara,"[232/7]",20150216,125530+0000,"Thousands of members of Turkey's Bar Associations march to the parliament in Ankara, Turkey, Monday, Feb. 16, 2015. Turkey's Bar Associations from 79 provinves ask the parliament to abandon a new security package planned by the government, warning that the new regulations are undemocratic and will end the sate of law. The banner reads: \" The state of law, not state of police! \" (AP Photo/Burhan Ozbilici)"
Minneapolis,"[240/24/1343]",20141102,095507+0000,"Protestors march outside TCF Bank Stadium before an NFL football game between the Minnesota Vikings and the Washington Redskins, Sunday, Nov. 2, 2014, in Minneapolis. The group was protesting the use of the mascot and name of the Washington Redskins football team. (AP Photo/Ann Heisenfelt)"
Hong Kong,"[102]",20140928,164930+0000,"A student protester uses an umbrella to block pepper spray from riot police as thousands of protesters surround the government headquarters in Hong Kong, Sunday, Sept. 28, 2014. Hong Kong police used tear gas on Sunday and warned of further measures as they tried to clear thousands of pro-democracy protesters gathered outside government headquarters in a challenge to Beijing over its decision to restrict democratic reforms for the city. (AP Photo/Wally Santana)"
New York,"[240/33/1874,240/33/1872,240/33/1854,240/33/1833,240/33/1862]",20141208,202813+0000,"A protestor holds his hands up during a demonstration outside the Barclays Center against a grand jury's decision not to indict the police officer involved in the death of Eric Garner, Monday, Dec. 8, 2014, in the Brooklyn borough of New York. Britain's Prince William, the Duke of Cambridge, and Kate, Duchess of Cambridge, not pictured, attended a NBA basketball game between the Cleveland Cavaliers and the Brooklyn Nets at Barclays Center. (AP Photo/John Minchillo)"
Mexico City,"[145/9]",20150226,165813+0000,"A demonstrator wearing representations of Mexico's national flag stained with red paint symbolizing blood, takes part in a march marking the fifth month since the disappearance of 43 students from a rural teachers college, in Mexico City, Thursday, Feb. 26, 2015. In late January the Mexican attorney general said that investigators were certain that the 43 college students were killed and incinerated after they were seized by police in southern Guerrero state. Relatives refuse to accept the government's version of what happened to their sons. (AP Photo/Eduardo Verdugo)"
Dhaka,"[19/3/9]",20140807,133918+0000,"Bangladeshi police chase away garment workers as they clash in Dhaka, Bangladesh, Thursday, Aug. 7, 2014. Bangladesh police on Thursday entered the premises of a garment factory, fired tear gas and used batons to disperse workers who were on a hunger strike since July 28 demanding payment of their salaries and festival allowances. (AP Photo/A.M. Ahad)"
Hong Kong,"[102]",20141205,140216+0000,"Student protester Prince Wong sits on a wheel chair during her hunger strike at the occupied area outside government headquarters in Hong Kong Friday, Dec. 5, 2014. Hong Kong student leaders said Thursday they're considering retreating from protest sites on city streets after more than two months in the latest sign that momentum is fading in their movement for greater democracy. (AP Photo/Kin Cheung)"
Hong Kong,"[102]",20141113,144955+0000,"A man looks at a poster in an occupied area outside the government headquarters in Hong Kong's Admiralty district Thursday, Nov. 13, 2014. U.S. President Barack Obama said Wednesday that the U.S. had no role in fostering pro-democracy protests that have shut down parts of Hong Kong for six weeks, denying allegations in Chinese state media. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141119,042830+0000,"Police officers clash with pro-democracy protesters outside the Legislative Council in Hong Kong early Wednesday, Nov. 19, 2014. Hundreds of riot police and geared-up protesters faced off each other after a handful of protesters broke several glass doors of the Legislative Council in an attempt to enter the building early Wednesday, following the execution of a court order to remove some roadblocks nearby that were part of a pro-democracy occupation campaign. (AP Photo/Kin Cheung)"
Ankara,"[232/7]",20141220,104802+0000,"Riot police use water cannons and tear gas to disperse members of Turkish Teachers' Union who were protesting against the government's education and economy policies and corruption, in Ankara, Turkey, Saturday, Dec. 20, 2014. Protesters also condemned President Recep Tayyip Erdogan's huge new, contested more than 1,000-room palace complex, built on once-protected farm land and forest.(AP Photo)"
New Orleans,"[240/19/1148]",20141119,125006+0000,"Oscar Mejia Martinez, of Honduras, talk to reporters outside the U.S. Citizenship & Immigration Service office in New Orleans, Wednesday, Nov. 19, 2014, as immigrants and activists demonstrate to draw attention to the possibility that many immigrants living illegally in the United States may not be shielded by an executive order President Barack Obama is expected to sign. (AP Photo/Gerald Herbert)"
Hong Kong,"[102]",20141113,150017+0000,"A pro-democracy protester draws on a painting in an occupied area outside government headquarters in Hong Kong's Admiralty district Thursday, Nov. 13, 2014. U.S. President Barack Obama said Wednesday that the U.S. had no role in fostering pro-democracy protests that have shut down parts of Hong Kong for six weeks, denying allegations in Chinese state media. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141006,032147+0000,"A pro-democracy student protester stands at an occupied entrance to the government complex in Hong Kong, Monday, Oct. 6, 2014. Bolstered by a massive rally overnight, Hong Kong's pro-democracy activists were defiant on the eighth day of protests Sunday in the face of attacks by opponents and government warnings to clear the business district streets by Monday that they have occupied to press their demand for reforms. (AP Photo/Wally Santana)"
Washington,"[240/9/317]",20141205,192904+0000,"Protestors block an intersection with a four and-a-half minute \"die-in\" in downtown Washington, Friday, Dec. 5, 2014, during a demonstration against the deaths of two unarmed black men at the hands of white police officers in New York City and Ferguson, Mo.  (AP Photo/Cliff Owen)"
San Sebastian,"[213/16/48]",20150117,190013+0000,"Pro-independence Basque demonstrators gather to protest against the last detentions on January 12 when Spanish police arrested 16 people, including 12 lawyers, for alleged ties with the armed Basque separatist group ETA, in San Sebastian, northern Spain, Saturday Jan. 17, 2015. By order of a judge of National Court, the lawyers were released.  ETA declared a permanent cease-fire in 2011. (AP Photo/Alvaro Barrientos)"
Port-au-Prince,"[99/8/33]",20150213,144137+0000,"A protester sets fire to a tire near the national Palace during a protest demanding that the government lower fuel prices, in Port-au-Prince, Haiti, Friday, Feb. 13, 2015. Students marched through Haiti's capital to demand lower gas prices and the ouster of President Michel Martelly. (AP Photo/Dieu Nalio Chery)"
Makati,"[177/q47/952]",20141002,102232+0000,"Protesters open their yellow and black umbrellas during a rally outside the Chinese Consulate at the financial district of Makati city east of Manila, Philippines Thursday, Oct. 2, 2014 to express their solidarity with the pro-democracy protest in Hong Kong which some sectors dubbed as \"Umbrella Revolution.\" The protest in Hong Kong, now on its fifth day, with pro-democracy protesters threatening to occupy key government buildings unless the territory's top official resigns by the end of the day Thursday. (AP Photo/Bullit Marquez)"
London,"[239/1/103,239/1/100,239/1/109,239/1/46,239/1/34,239/1/32,239/1/45,239/1/14,239/1/56,239/1/31,239/1/89,239/1/50,239/1/54]",20141105,212645+0000,"Anti-austerity demonstrator holds a poster calling for revolution as protesters gather in central London's Trafalgar Square, Wednesday, Nov. 5, 2014.  The National Gallery of art seen behind. (AP Photo/Lefteris Pitarakis)"
Denver,"[240/6/258]",20141212,164427+0000,"As viewed through a fisheye lens, Zamir Almazbek, a student at the School of Arts, puts the finishing touches on a chalk message referring to the words of Eric Gardner, who died in July after a New York City police officer placed the man in a chokehold while trying to make an arrest, before a march wended its way through the streets of east Denver to protest police actions in Ferguson, Mo., and in New York City late on Friday, Dec. 12, 2014. More than 150 young people took part in the march, which the organizers said was staged to protest systemic racism and police brutality across the United States. (AP Photo/David Zalubowski)"
Hong Kong,"[102]",20141215,105205+0000,"Police officers stand guard on a sidewalk as they remove barricades and tents on a main road in the occupied areas at Causeway Bay district in Hong Kong Monday, Dec 15, 2014. Hong Kong police tore down barricades, folded up tents and arrested some protesters Monday at a third and final pro-democracy protest camp, ending demonstrations that blocked traffic in the southern Chinese city's streets for two and a half months. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141225,112619+0000,"An anti-Beijing protester holds a placard with picture of jailed Chinese human rights activist Liu Xiaobo during a rally outside the Chinese liaison office in Hong Kong Thursday, Dec. 25, 2014. They demanded to release Chinese human rights activists. The placard reads \"Release Liu Xiaobo.\" (AP Photo/Kin Cheung)"
Hong Kong,"[102]",20141007,185032+0000,"Pro-democracy protesters smile as they stand guard against pro-Beijing demonstrators outside a government office in the Admiralty district in Hong Kong, Tuesday, Oct. 7, 2014. Crowds of protesters who filled Hong Kong's streets with demands for more democracy thinned dramatically Tuesday after student leaders and the government agreed to hold talks in the increasingly frustrated city. (AP Photo/Vincent Yu)"
San Sebastian,"[213/16/48]",20150117,192804+0000,"A Pro-independence Basque demonstrator holds an his neck a banner which reads, ''Spain. Imperialist State and Genocide and Fascist Constitution''  during to protest against the last detentions on January 12 when Spanish police arrested 16 people, including 12 lawyers, for alleged ties with the armed Basque separatist group ETA, in San Sebastian, northern Spain, Saturday Jan. 17, 2015. By order of a judge of National Court, the lawyers were released. ETA declared a permanent cease-fire in 2011. (AP Photo/Alvaro Barrientos)"
Jackson,"[240/25/1429]",20150415,090538+0000,"About 30 McDonald's workers and supporters demonstrated for higher wages outside a McDonald's restaurant in Jackson, Miss., Wednesday morning, April 15, 2015. Police arrested one of the lead demonstrators after a restaurant manager pressed trespassing charges. (AP Photo/Jeff Amy)"
London,"[239/1/103,239/1/100,239/1/109,239/1/46,239/1/34,239/1/32,239/1/45,239/1/14,239/1/56,239/1/31,239/1/89,239/1/50,239/1/54]",20150215,153806+0000,"Protesters hold placards during a rally to show solidarity with Greece in central London, Sunday, Feb. 15, 2015. Hundreds of protesters gathered in support of the new government and the anti-austerity movement in Greece. Greece's new left-wing government is pressing for a short-term \"bridge\" agreement with eurozone lenders and a longer-term debt relief deal later this year. (AP Photo/Lefteris Pitarakis)"
New York,"[240/33/1874,240/33/1872,240/33/1854,240/33/1833,240/33/1862]",20150113,125226+0000,"Retired NYPD Captain Joe Concannon speaks during a pro-police rally and press conference outside Queens Borough Hall, Tuesday, Jan. 13, 2015, in New York. Concannon is the organizer of \"Support Your Local Police,\" a series of city-wide nonpartisan pro-NYPD rallies.  (AP Photo/Bebeto Matthews)"
Hong Kong,"[102]",20141022,150626+0000,"A pro-democracy protester takes a rest at a tent on a main road in an occupied area outside government headquarters in Hong Kong's Admiralty district Wednesday, Oct. 22, 2014. The student-led protests are rooted in growing discontent among young people about poor economic prospects amid one of the world's biggest wealth gaps. The protesters want Hong Kong's government to abandon a requirement by China's legislature for a committee to screen candidates for inaugural 2017 elections for the top leader. They say it gives the city's pro-Beijing elite too much say. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141001,154149+0000,"A local policeman stands guard behind barricades at the entrance of the government complex where Hong Kong's Chief Executive Leung Chun-ying's office is located, Thursday, Oct. 2, 2014 in Hong Kong. Student leaders of pro-democracy protests in Hong Kong warned Wednesday that if the territory's leader doesn't resign by the end of Thursday they will step up their actions, including occupying several important government buildings.(AP Photo/Wong Maye-E)"
Hong Kong,"[102]",20141008,203215+0000,"Barricades block the main road of the Central district in Hong Kong Wednesday, Oct. 8, 2014. Crowds of protesters who filled Hong Kong's streets with demands for more democracy thinned dramatically Tuesday after student leaders and the government agreed to hold talks in the increasingly frustrated city.  (AP Photo/Kin Cheung)"
Berkeley,"[240/5/184]",20141208,095046+0000,"A broken window at the Nash Hotel is seen  Monday, Dec. 8, 2014, the result of a violent protest Sunday night in Berkeley, Calif. The second straight night of protests in Berkeley over police killings in Missouri and New York led to at least five arrests and left two officers with minor injuries. (AP Photo/Ben Margot)"
